favorites_title	Lɔlɔ̃nuwo
error_rate_limit_body	Èɖo biabia geɖe ɖa le ɖeka nu. Dzra ɖi miniti ɖeka nàgadze agbagba.
error_analysis_title	Míete ŋu dzro avɔ ma me o
error_analysis_body	Tsɔ nɔnɔmeɖeɖe nyui si me kɛkɛ le adze agbagba, ne nutata la naxɔ agbadzi la katã.
error_permission_title	Mɔɖeɖe hiã
error_memory_title	Ŋkuɖoɖoƒe mede o
error_memory_body	Nɔnɔmeɖeɖe ma lolo akpa na mɔ̃ sia. Ɖe app ɖeka alo eve ɖa alo tsɔ nɔnɔmeɖeɖe sue.
notif_channel_processing	Dɔwɔwɔ wu enu
notif_channel_processing_desc	Ɛgblɔe na wò ne nɔnɔmeɖeɖe si wowɔ la le klalo.
notif_channel_recommendations	Awuɖoɖo susuwɔ
notif_channel_recommendations_desc	Ɖoɖo susu ɣeaɖewoɣi tso avɔ siwo nèdzra ɖo me.
notif_channel_updates	Ntoma ƒe tɔtrɔ
notif_channel_updates_desc	Tɔtrɔ kɔ ɖɔɖɔɖo veviwo.
notif_look_ready_title	Wò nɔnɔmeɖeɖe le klalo
notif_look_ready_body	%1$s le wò lalam le Ntoma me.
notif_recommendation_title	Awuɖoɖo susu na wò
notif_recommendation_body	%1$s asɔ avɔ abe tɔwò ene.
notif_update_title	Wotrɔ Ntoma
notif_update_body	Kpɔ nu yeye siwo le version sia me.
share_chooser_title	Ma kɔ
share_look_text	Nɔnɔmeɖeɖe: %1$s le %2$s me — Ntoma wɔe.
share_fabric_text	Avɔ: %1$s — %2$s. Ntoma kpe ɖe eŋu.
share_design_text	Ɖoɖo: %1$s — %2$s. Wokpɔe le Ntoma dzi.
share_saved	Eklalo na mɔmɔ
privacy_title	Ameŋutinyawo
privacy_intro	Ɖoɖo kpuie: Ntoma wɔa dɔ le wò mɔ̃a dzi. Míeɖoa nɔnɔmeɖeɖe ɖa afi aɖeke negbe ɖe nèbia AI wɔwɔ ko, eye míegblɔnae ne edzɔ.
privacy_images_title	Nɔnɔmeɖeɖe kawoe wowɔa dɔ ɖo
privacy_images_body	Avɔ ƒe nɔnɔmeɖeɖe siwo nèɖe alo nètia, kɔ — ne èzã dodokpɔ ko — ame ƒe nɔnɔmeɖeɖe ɖeka. Nɔnɔmeɖeɖe siwo wowɔ la le app la ƒe teƒe ŋutɔ me.
privacy_device_title	Ðe nɔnɔmeɖeɖewo dzoa nye mɔ̃a dzia?
privacy_device_body	Mɔ̃a dzi dzodzro: ao. Wodzroa wò avɔ ƒe nɔnɔmeɖeɖe me le mɔ̃a dzi eye womeɖonɛ ɖa gbeɖe o. Cloud dzi dzodzro kɔ AI dodokpɔ: ɛ̃ — woɖoa nɔnɔmeɖeɖe la ɖa na teƒe si woɖo ɖi la be ɖoɖoa nawɔ dɔ ɖe edzi. Woɖea ɖoɖo si wozã la fia le dzroɖeƒea gbesiagbe.
privacy_retention_title	Ɣeyiɣi didi sɔŋ ka woadzra nɔnɔmeɖeɖewo ɖo?
privacy_retention_body	Le mɔ̃a dzi, vaseɖe ɣesiɣi nàɖe wo ɖa. Teƒe si woka ɖe eŋu la ɖoa eya ŋutɔ ƒe ɣeyiɣi; míeɖo aɖaŋu be gaƒoƒo 24 ko nasɔ na nɔnɔmeɖeɖe siwo woɖo ɖa, eye kpɔɖeŋu ɖoɖoa medzraa naneke ɖo o.
privacy_delete_title	Alekee maɖe nye nyatakaka ɖae?
privacy_delete_body	Zã "Ɖe nye nyatakaka ɖa" si le ete la. Eɖea ɖeɖewo, dzroɖewɔwɔwo, nɔnɔmeɖeɖewo, ŋutinya, lɔlɔ̃nuwo kɔ nɔnɔmeɖeɖe siwo le adzɔgbe la ɖa le mɔ̃ sia dzi enumake.
privacy_analytics_title	Dɔwɔwɔ ŋuti nyatakaka
privacy_analytics_body	Version sia kpe debug ƒe nuŋlɔɖi ko. Analytics SDK aɖeke mele eme o eye dɔwɔwɔ ŋuti nyatakaka aɖeke medzoa wò mɔ̃a dzi o.
privacy_ads_title	Adzɔnuwo
privacy_ads_body	Ntoma ƒe version sia me adzɔnuwo alo adzɔnu SDK aɖeke mele o. Womexɔa adzɔnu ŋuti nyatakaka aɖeke o. Ne adzɔnuwo va le version aɖe me le etsɔme la, woaɖe wo fia kɔtɛ eye woaɖɔ ɖoɖo sia ŋu gbã.
privacy_permissions_title	Mɔɖeɖewo
privacy_permissions_body	Kamera (ne èle ɖeɖe alo nɔnɔmeɖeɖe ɖem ko) kɔ nyatakakawo (ne èʋu wo ko). Woxlẽa nɔnɔmeɖeɖewo to Android ƒe nɔnɔmeɖeɖe tiamɔ̃ dzi, eya ta womediadzraɖoƒe ƒe mɔɖeɖe o. Míebiana amewo ŋuti nyatakaka, teƒe, mikrofon, SMS, kaƒoƒo alo kaƒoƒo ŋutinya gbeɖe o.
privacy_delete_data_title	Ɖe nye nyatakaka ɖa?
privacy_delete_data_body	Esia ɖea wò avɔwo, dzroɖewɔwɔwo, nɔnɔmeɖeɖe siwowɔ, ŋutinya kɔ lɔlɔ̃nuwo ɖa le mɔ̃ sia dzi keŋkeŋ. Màte ŋu agbugbɔe o.
privacy_data_deleted	Woɖe wò nyatakaka ɖa le mɔ̃a dzi
privacy_keep_history_days	Ŋutinya ƒe ɣeyiɣi
privacy_keep_forever	Dzra nuwo katã ɖo
privacy_keep_days	Ŋkeke %1$d
terms_title	Sedede kɔ ɖoɖowo
terms_body_1	Ntoma kpena ɖe ŋuwò nàkpɔ ale si avɔ ate ŋu adze le awu me. Susuwɔ kɔ nɔnɔmeɖeɖewo nye susu, menye tɔla ƒe aɖaŋuɖoɖo o, eye kpɔɖeŋu la tso wò avɔ, wò dzidzeme kɔ wò tɔla dzi.
terms_body_2	Wòe lé nɔnɔmeɖeɖe siwo nètsɔ vɛ la ƒe gomenɔamesi. Wòe wòle be wòakpɔ mɔɖeɖe be yeazã ame bubu ƒe nɔnɔmeɖeɖe, eye wòe kpɔa ale si nàma nɔnɔmeɖeɖe siwo wowɔ la dzi.
terms_body_3	Nɔnɔmeɖeɖe siwo wowɔ la nye nufiafia. Mègatsɔ wo afia abe awu si wowu enu, alo kakaɖedzi be ewɔ ɖeka kɔ ŋutilã, alo nɔnɔmeɖeɖe ŋutɔŋutɔ o.
terms_body_4	Beta ƒe ɣeyiɣi mee dɔwɔƒe la le. Premium ƒe dɔwɔwɔ le version sia me nyaa akɔntabubu ŋu o, eye womexɔa ga aɖeke o.
terms_body_5	Bia kpekpeɖeŋu be nàgblɔ kuxi alo nàbia wò nyatakaka ɖeɖeɖa.
credits_title	Ɖeɖe fiafia
credits_body	Ntoma — "avɔ" le Akan gbe me. Woɖoe kɔ Jetpack Compose. Avɔ kɔ awuɖoɖo ŋuti nyanya tso Ghana ƒe awuɖoɖo kɔnyinyi me: kente, adinkra, wax print kɔ batakari. Kpɔɖeŋu nɔnɔmeɖeɖe siwo katã le version sia me tso wò avɔ ƒe amadedewo me; wometsɔ ame bubu ƒe nɔnɔmeɖeɖewo ɖe eŋu o.
help_title	Kpekpeɖeŋu kɔ aɖaŋuɖoɖo
help_how_title	Ale si Ntoma wɔa dɔ
help_how_1	1. Ɖe avɔ ƒe nɔnɔmeɖeɖe alo tsɔe ɖo ɖa.
help_how_2	2. Xlẽ dzodzro la: amadedewo, nutata, nɔnɔme kɔ Ghana ƒe awuɖoɖo.
help_how_3	3. Kpɔ awuɖoɖo siwo sɔ na nyɔnuwo kɔ ŋutsuwo, siwo woma ɖe ŋkekenyuinu.
help_how_4	4. Ne èdi la, kpɔ ɖoɖo la ame ƒe nɔnɔmeɖeɖe dzi.
help_how_5	5. Dzra nu si nèlɔ̃ ɖo nàmae kɔ wò tɔla.
help_tips_title	Nɔnɔmeɖeɖeɖeɖe ƒe aɖaŋuɖoɖo
help_tips_body	Na nutata la naxɔ agbadzi la katã, zã ŋdɔkɛkɛ, na avɔ la nanɔ anyi sɔsɔe, eye nàƒo asa na vɔvɔli sesẽ alo kɛklẽ ƒe dzedzeme.
help_faq_title	Biabia siwo wobiana zi geɖe
help_faq_q1	Ðe woɖoa nye nɔnɔmeɖeɖe ɖa?
help_faq_a1	Ne èzã cloud ƒe ɖoɖo alo AI dodokpɔ ko. Mɔ̃a dzi dzodzro medzoa wò mɔ̃a dzi gbeɖe o.
help_faq_q2	Nu ka tae wògblɔna be "ate ŋu anye esia"?
help_faq_a2	Elabena nɔnɔmeɖeɖe mete ŋu ɖea vovototo si le kete kɔ esi wota la me gbeɖe o. Míedi be míanye nugblɔla wu kakaɖedzitɔ.
help_faq_q3	Ðe dodokpɔ la nye dodokpɔ ŋutɔŋutɔa?
help_faq_a3	Ao. Eɖea amadede kɔ didime fia ame dzi. Ale si wòawɔ ɖeka kɔ ŋutilã la tso wò tɔla dzi.
help_faq_q4	Ðe ewɔa dɔ internet manɔmea?
help_faq_a4	Ɖoɖo kpɔkpɔ, lɔlɔ̃nuwo, ŋutinya kɔ ɖoɖowo wɔa dɔ internet manɔmee. Cloud dzi dzodzro kɔ AI dodokpɔ hiã internet.
help_faq_q5	Ðe mate ŋu atsɔ nye ɖoɖo ŋutɔ akpe ɖe eŋua?
help_faq_a5	Meka o haɖe. Woɖoa awuɖoɖo ɖoɖoƒe la tso agbalẽ me si woate ŋu atrɔ tso teƒe bubu.
help_contact_body	Gblɔ nu si gblẽ la na mí eye míaɖo ŋu. Tsɔ wò app version kpe ɖe eŋu: %1$s.
help_contact_email	support@ntoma.app
help_contact_subject	Ntoma kpekpeɖeŋu biabia
empty_looks_title	Nɔnɔmeɖeɖe aɖeke meli haɖe o
empty_looks_body	Do ɖoɖo kpɔ nɔnɔmeɖeɖe dzi eye wò kpɔɖeŋu adze afii.
empty_fabrics_title	Avɔ aɖeke meli haɖe o
empty_fabrics_body	Ɖe avɔ nàdze wò nuƒoƒu gɔme.
empty_history_body	Wò dɔwɔwɔ adze afii.
fabric_kente	Kete
fabric_kente_desc	Avɔ si wotsɔ asi lɔ̃ le Ashanti kɔ Ewe ƒe kɔnyinyi me, si nyanya le eƒe nutata gãwo ta.
fabric_adinkra	Adinkra
fabric_adinkra_desc	Avɔ si woɖe dzesiwo ɖo, si woɖona le konyifafa kɔ ŋkekenyuiwo me le kɔnyinyi nu.
fabric_wax	Wax print (Ankara)
fabric_wax_desc	Avɔ si wota amadede sesẽwo ɖo — Yevuƒe Afrika ƒe awuɖoɖo ƒe avɔ.
fabric_ankara	Ankara avɔ
fabric_ankara_desc	Avɔ si wota nyuie le eƒe akpa evea katã kɔ amadede sesẽwo.
fabric_batik	Batik
fabric_batik_desc	Avɔ si wotsɔ asi ɖe amadede ɖo si ƒe nuwo fa nyuie.
fabric_tiedye	Tie-dye
fabric_tiedye_desc	Avɔ si wobla heɖe amadede ɖo si ƒe kpɔɖeŋuwo le keklẽm.
fabric_lace	Lace
fabric_lace_desc	Avɔ si wotsɔ nu ɖo nyuie, si dze ŋu na srɔ̃ɖeɖe kɔ sɔleme.
fabric_brocade	Brocade / Bazin
fabric_brocade_desc	Avɔ sesẽ si keklẽna si tsia eɖokui nyuie.
fabric_cotton_plain	Cotton avɔ ƒuƒu
fabric_cotton_plain_desc	Avɔ amadede ɖeka si le faa — efa eye wòate ŋu awɔ nu geɖe.
fabric_linen	Linen
fabric_linen_desc	Avɔ si ya tona eme si ƒe nɔnɔme le ŋutɔme.
fabric_silk	Silk / satin
fabric_silk_desc	Avɔ si keklẽna eye wòzɔna nyuie.
fabric_chiffon	Chiffon
fabric_chiffon_desc	Avɔ henhene si zɔna kɔ ŋutilã.
fabric_velvet	Velvet
fabric_velvet_desc	Avɔ si ƒe fu le edzi kɔ amadede sesẽ.
fabric_denim	Denim
fabric_denim_desc	Avɔ sesẽ bulu si ƒe lɔlɔ dze nyuie.
fabric_kente_print	Kete ƒe ta
fabric_kente_print_desc	Avɔ si wota abe kete ene — ate ŋu anye mɔsɔsɔ, menye kete si wolɔ̃ o.
fabric_unknown	Avɔ si womenya o
fabric_unknown_desc	Míete ŋu ɖe avɔ sia me kɔtɛ o. Amadede kɔ nutata ŋuti nyawo gale eteƒe.
pattern_striped	Kɔɖiwo
pattern_checked	Kɔɖi siwo do alɔ̃me
pattern_geometric	Geometri ƒe nutata
pattern_floral	Seƒoƒo
pattern_organic	Ŋutɔme nutata
pattern_symbolic	Dzesiwo
pattern_dotted	Togbɛviwo
pattern_abstract	Abstrakt
pattern_solid	Amadede ɖeka
pattern_gradient	Amadede siwo tsaka
texture_woven	Lɔlɔ̃ sesẽ
texture_smooth	Fafa
texture_slub	Togbɛvi suewo
texture_sheer	Henhene
texture_pile	Fu
texture_stiff	Sesẽ
texture_soft	Zɔzɔ le bɔbɔe
texture_quilted	Quilt
texture_embroidered	Ŋutɔɖoɖo
style_kaba_slit	Kaba kɔ ɛɖɛ
style_kaba_slit_desc	Ghana ƒe awu xoxo: awu si woɖe ɖe ŋutilã nu kɔ ɛɖɛ kɛkɛ.
style_modern_kaba	Kaba yeye
style_modern_kaba_desc	Kaba ƒe ɖoɖo yeye kɔ abɔwo yeyewo.
style_maxi_dress	Awu kɛkɛ
style_maxi_dress_desc	Awu si ɖo anyigba si ƒe ete trɛw ne nutata la naɖo zɔ.
style_straight_dress	Awu tɔtɔ
style_straight_dress_desc	Awu si tso ɖe ɖeka si me lɔlɔ̃ geɖe mele o.
style_mermaid_dress	Mermaid awu
style_mermaid_dress_desc	Eɖea ŋutilã eye wòtrɛna le afɔklo teƒe na fiẽ ƒe ŋkekenyui.
style_peplum	Peplum dzi kɔ ete
style_peplum_desc	Eƒoƒo le ali dzi le awu si tɔ ɖe ɖeka alo si trɛna la dzi.
style_jumpsuit	Nutata jumpsuit
style_jumpsuit_desc	Awu ɖeka si ƒe afɔ kɛ eye ali dze nyuie.
style_skirt_blouse	Ete kɔ dzi
style_skirt_blouse_desc	Dzi kɔ ete vovovo siwo nàte ŋu atsaka kɔ bubuwo.
style_african_gown	Afrika nutata awu kɛkɛ
style_african_gown_desc	Awu kɛkɔ ŋkekenyui si ƒe dzi sesẽ eye eƒe nu le megbe.
style_contemporary_formal	Ɖoɖo ŋkekenyui awu yeye
style_contemporary_formal_desc	Awu si wolɔ̃ nyuie na dɔwɔƒe, sɔleme kɔ ŋkekenyuinuwo.
style_kaftan	Kaftan
style_kaftan_desc	Awu kɛkɛ si wotsɔna do le ta si tɔ ɖe ɖeka eye akpa le eƒe akpa.
style_agbada	Agbada ƒe awuɖoɖo
style_agbada_desc	Awu gã si zɔna si wodo le tunic kɔ awɔviwo dzi.
style_print_shirt	Afrika nutata hem
style_print_shirt_desc	Hem si ƒe abɔ kpuie eye kɔla le eƒe kɔdzi le avɔ si nètia me.
style_senator	Senator ƒe awuɖoɖo
style_senator_desc	Tunic kpuie si me ŋutɔɖoɖo sue le kɔ awɔvi siwo sɔ kplii.
style_smock	Batakari ƒe awuɖoɖo (fugu)
style_smock_desc	Batakari si wolɔ̃ kɔ asi si ƒe kɔdzi wolɔ̃ nyuie.
style_african_suit	Afrika ƒe suit ŋkekenyui
style_african_suit_desc	Jaket kɔ awɔvi siwo me nutata le le woƒe dzi alo wo me.
style_shirt_trousers	Hem kɔ awɔvi
style_shirt_trousers_desc	Gbesiagbe ƒe awu si nana avɔ la ɖea eɖokui fia.
style_modern_traditional	Kɔnyinyi yeye
style_modern_traditional_desc	Ɖoɖo yeye kɔ kɔnyinyi ƒe ɖoɖoɖi.
style_beach_cover	Awu fafawu
style_beach_cover_desc	Awu ƒoƒu si nyɔnuwo kɔ ŋutsuwo ate ŋu ado le ŋkeke fafawo me.
style_co_ords	Awu siwo sɔ kɔ wo nɔewo
style_co_ords_desc	Hem kɔ awɔvi kpuikpui alo hem kɔ awɔvi kɛkɛ tso avɔ ɖeka me.
occasion_wedding	Srɔ̃ɖeɖe
occasion_church	Sɔleme
occasion_office	Dɔwɔƒe
occasion_party	Kplɔ̃
occasion_everyday	Gbesiagbe
occasion_ceremony	Wɔna
occasion_mourning	Konyifafa
occasion_festival	Aza
cd_favorite_on	Ɖe ɖa le lɔlɔ̃nuwo me
cd_favorite_off	Tsɔ kpe ɖe lɔlɔ̃nuwo ŋu
cd_fabric_image	Avɔ ƒe nɔnɔmeɖeɖe
cd_person_image	Ame ƒe nɔnɔmeɖeɖe
cd_generated_image	Nɔnɔmeɖeɖe si wowɔ
cd_design_image	Ɖoɖo ƒe nɔnɔmeɖeɖe
cd_color_dot	Amadede %1$s
cd_back	Yi megbe
cd_more_options	Tiatia bubuwo
cd_delete_item	Ɖe nu sia ɖa
cd_share_item	Ma nu sia
cd_clear_search	Ɖe didi ƒe nyawo ɖa
cd_open_item	Ɖe %1$s
cd_progress	Yiyi
a11y_tab_selected	%1$s, wotiae
a11y_new_content	Yeye
a11y_demo_result	Esia nye kpɔɖeŋu nɔnɔmeɖeɖe, menye dodokpɔ ŋutɔŋutɔ o
time_just_now	Ɖeɖeɖi sia
time_minutes_ago	Aɖabaƒoƒo %1$d si va yi
time_hours_ago	Gaƒoƒo %1$d si va yi
time_days_ago	Ŋkeke %1$d si va yi
collections_title	Nuƒoƒuwo
collections_create	Nuƒoƒu yeye
collections_name_hint	le kpɔɖeŋu me: Srɔ̃ɖeɖe ƒe susuwo
collections_empty_title	Nuƒoƒu aɖeke meli haɖe o
